dept_id,cat_id,item_id,state_id,store_id,datetime,sales
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-01-06,0.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-01-13,0.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-01-20,0.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-01-27,0.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-02-03,0.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-02-10,4.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-02-17,8.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-02-24,2.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-03-03,14.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-03-10,0.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-03-17,4.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-03-24,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-03-31,4.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-04-07,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-04-14,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-04-21,15.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-04-28,2.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-05-05,8.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-05-12,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-05-19,9.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-05-26,2.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-06-02,8.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-06-09,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-06-16,8.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-06-23,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-06-30,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-07-07,1.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-07-14,2.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-07-21,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-07-28,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-08-04,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-08-11,10.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-08-18,4.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-08-25,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-09-01,9.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-09-08,11.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-09-15,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-09-22,2.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-09-29,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-10-06,9.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-10-13,4.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-10-20,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-10-27,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-11-03,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-11-10,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-11-17,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-11-24,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-12-01,0.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-12-08,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-12-15,10.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-12-22,7.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2014-12-29,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-01-05,9.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-01-12,10.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-01-19,0.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-01-26,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-02-02,4.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-02-09,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-02-16,10.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-02-23,2.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-03-02,2.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-03-09,10.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-03-16,8.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-03-23,1.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-03-30,0.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-04-06,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-04-13,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-04-20,4.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-04-27,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-05-04,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-05-11,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-05-18,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-05-25,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-06-01,7.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-06-08,7.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-06-15,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-06-22,2.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-06-29,1.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-07-06,3.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-07-13,5.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-07-20,6.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-07-27,1.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-08-03,2.0
FOODS_1,FOODS,FOODS_1_001,CA,CA_1,2015-08-10,5.0
